block_number,transaction_hash,transaction_index,log_index,pool_id_or_address,quote_symbol,direction,quotron_amount_wei,quotron_amount
34994015,0x14a18f91440692645720c01572d54f700ef5c349428349f7a051c63c11fd0f34,14,47,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,1555406924647432520,1.55540692464743252
34994432,0x11b8c85c92763a2f0b4295ea47f8301fed4499e2a7380c8385ddf2dc46bf90d7,8,33,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,buy-quotron,33492097189611825,0.033492097189611825
34994432,0x11b8c85c92763a2f0b4295ea47f8301fed4499e2a7380c8385ddf2dc46bf90d7,8,36,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,buy-quotron,49121742544764010,0.04912174254476401
34994432,0x11b8c85c92763a2f0b4295ea47f8301fed4499e2a7380c8385ddf2dc46bf90d7,8,39,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,buy-quotron,140666808196369667,0.140666808196369667
34994432,0x11b8c85c92763a2f0b4295ea47f8301fed4499e2a7380c8385ddf2dc46bf90d7,8,44,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,1442392985632615949,1.442392985632615949
34994432,0x11b8c85c92763a2f0b4295ea47f8301fed4499e2a7380c8385ddf2dc46bf90d7,8,50,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,2799939325051548607,2.799939325051548607
34994598,0x7d8986ed67d8f5d71b40ffb815bb085c6e51a5e8d21c1f9d4662be1d6f0553a7,4,69,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,5004089158729776650,5.00408915872977665
34994598,0x7d8986ed67d8f5d71b40ffb815bb085c6e51a5e8d21c1f9d4662be1d6f0553a7,4,82,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,buy-quotron,2694509547008341274,2.694509547008341274
34994657,0xb43776a5f1bd42794cc20b84094f5fa778d40ffdf761483e1a75978a03b7d6d7,2,0,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,4385524277490302856,4.385524277490302856
34994688,0xc50728900a5a2cc62279e541d437e8e585dd1c0dfd7e4371561dd7a6031035ee,6,13,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1100220728876254909,1.100220728876254909
34994798,0xcf2d28627812dcc6c4c5ba5bc36434abaebc6ecfccac6d27fbd9be2f167c2493,5,6,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,2779845266545641840,2.77984526654564184
34994840,0xbbef6ea23266863f6213d55bf53d096de1d7106f01cd08c9ed11e31f4d8f7990,7,6,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,955462827155862201,0.955462827155862201
34994840,0xbbef6ea23266863f6213d55bf53d096de1d7106f01cd08c9ed11e31f4d8f7990,7,9,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,49337694233658036,0.049337694233658036
34995064,0xbfe73a69a88ab46f2a039adf5fc8c26eee16b498716ae84c0acb5022a00c934d,9,9,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,442176890272352259,0.442176890272352259
34995194,0x4da6c41051d7e9fa8d4924d387308eb9297d53a403920a507bf4f11f4cdc6b1f,2,0,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,buy-quotron,111095490559789003,0.111095490559789003
